countInDegree Node Time
countInDegree 19068 679
countInDegree 26436 601
countInDegree 2445 607
countInDegree 9501 638
countInDegree 21408 605
countInDegree 20913 626
countInDegree 2988 616
countInDegree 7566 617
countInDegree 18603 682
countInDegree 3519 597
countInDegree 7185 624
countInDegree 2421 591
countInDegree 27957 601
countInDegree 28443 674
countInDegree 1623 611
countInDegree 6045 618
countInDegree 13605 630
countInDegree 1002 582
countInDegree 7584 600
countInDegree 29736 585
countInDegree 19401 587
countInDegree 15378 644
countInDegree 26499 601
countInDegree 1248 611
countInDegree 4776 622
countInDegree 27201 604
countInDegree 19026 609
countInDegree 4902 654
countInDegree 8697 880
countInDegree 23097 605
countInDegree 8907 592
countInDegree 6975 648
countInDegree 25656 622
countInDegree 16491 597
countInDegree 24957 609
countInDegree 14409 613
countInDegree 29397 600
countInDegree 3912 608
countInDegree 2427 609
countInDegree 18105 602
countInDegree 10416 619
countInDegree 26982 691
countInDegree 10059 620
countInDegree 11610 598
countInDegree 23061 642
countInDegree 24984 626
countInDegree 17865 590
countInDegree 26250 750
countInDegree 3744 693
countInDegree 13119 593
countInDegree 5046 633
countInDegree 24261 605
countInDegree 6228 621
countInDegree 29559 606
countInDegree 11172 612
countInDegree 7887 595
countInDegree 12438 604
countInDegree 24549 585
countInDegree 13866 592
countInDegree 26964 651
countInDegree 8853 610
countInDegree 15705 603
countInDegree 1617 601
countInDegree 11934 596
countInDegree 9660 599
countInDegree 4611 593
countInDegree 9579 590
countInDegree 18921 590
countInDegree 4560 597
countInDegree 7761 594
countInDegree 2370 680
countInDegree 9282 696
countInDegree 26769 596
countInDegree 3177 605
countInDegree 26814 613
countInDegree 6789 597
countInDegree 26082 599
countInDegree 10554 608
countInDegree 5661 653
countInDegree 26868 616
countInDegree 15276 765
countInDegree 8835 855
countInDegree 10905 804
countInDegree 10782 801
countInDegree 14724 778
countInDegree 10284 855
countInDegree 26361 849
countInDegree 14340 878
countInDegree 26604 835
countInDegree 15798 813
countInDegree 26787 873
countInDegree 27780 917
countInDegree 12165 690
countInDegree 405 688
countInDegree 27873 601
countInDegree 13113 597
countInDegree 11226 623
countInDegree 1875 630
countInDegree 26874 645
countInDegree 24132 679
countInDegree 26970 682
countInDegree 13245 802
countInDegree 477 692
countInDegree 7764 617
countInDegree 25017 652
countInDegree 15261 602
countInDegree 18285 848
countInDegree 9708 729
countInDegree 12030 686
countInDegree 4509 664
countInDegree 372 826
countInDegree 3702 717
countInDegree 20376 617
countInDegree 23283 780
countInDegree 4146 724
countInDegree 19668 660
countInDegree 16497 665
countInDegree 8649 596
countInDegree 16767 716
countInDegree 2136 605
countInDegree 4296 599
countInDegree 15273 677
countInDegree 2601 593
countInDegree 22920 603
countInDegree 22956 609
countInDegree 16233 674
countInDegree 29259 625
countInDegree 25587 647
countInDegree 5853 725
countInDegree 402 639
countInDegree 6318 601
countInDegree 23151 633
countInDegree 20739 615
countInDegree 15351 683
countInDegree 4149 639
countInDegree 20025 605
countInDegree 579 660
countInDegree 29058 595
countInDegree 22680 592
countInDegree 24954 595
countInDegree 2109 635
countInDegree 14514 628
countInDegree 21813 683
countInDegree 17667 601
countInDegree 17190 746
countInDegree 17121 808
countInDegree 27456 773
countInDegree 18231 725
countInDegree 13770 587
countInDegree 29715 605
countInDegree 23361 590
countInDegree 29232 672
countInDegree 10776 669
countInDegree 5595 669
countInDegree 2790 597
countInDegree 16419 611
countInDegree 3270 650
countInDegree 14250 606
countInDegree 4134 594
countInDegree 21030 605
countInDegree 20976 606
countInDegree 23310 690
countInDegree 29316 599
countInDegree 141 607
countInDegree 27516 598
countInDegree 23805 617
countInDegree 7845 610
countInDegree 4386 597
countInDegree 21768 615
countInDegree 2616 614
countInDegree 18339 611
countInDegree 12378 641
countInDegree 15411 654
countInDegree 19089 598
countInDegree 22236 625
countInDegree 14142 621
countInDegree 11943 639
countInDegree 9906 792
countInDegree 3990 633
countInDegree 23919 650
countInDegree 24396 656
countInDegree 3030 616
countInDegree 126 689
countInDegree 19746 600
countInDegree 28299 627
countInDegree 19638 603
countInDegree 19446 591
countInDegree 705 678
countInDegree 8424 596
countInDegree 17430 602
countInDegree 12228 590
countInDegree 12189 601
countInDegree 14373 619
countInDegree 20142 692
countInDegree 17145 590
countInDegree 29871 670
countInDegree 9474 590
countInDegree 22395 587
countInDegree 20439 650
countInDegree 5604 711
countInDegree 19683 619
countInDegree 13236 637
countInDegree 29304 693
countInDegree 11169 701
countInDegree 21678 623
countInDegree 8274 591
countInDegree 28410 610
countInDegree 6681 587
countInDegree 28707 613
countInDegree 19989 608
countInDegree 15225 629
countInDegree 5718 609
countInDegree 2346 704
countInDegree 6120 633
countInDegree 10617 609
countInDegree 852 623
countInDegree 2553 607
countInDegree 20865 612
countInDegree 23652 597
countInDegree 14160 603
countInDegree 669 686
countInDegree 26904 605
countInDegree 28992 665
countInDegree 5487 599
countInDegree 22716 595
countInDegree 12015 597
countInDegree 29952 601
countInDegree 22941 609
countInDegree 22614 607
countInDegree 11718 689
countInDegree 1713 651
countInDegree 22377 629
countInDegree 342 604
countInDegree 12822 623
countInDegree 6060 596
countInDegree 10611 864
countInDegree 4392 851
countInDegree 15936 763
countInDegree 8919 623
countInDegree 18309 712
countInDegree 28425 797
countInDegree 4893 827
countInDegree 14889 624
countInDegree 23991 601
countInDegree 17748 596
countInDegree 7476 698
countInDegree 1281 644
countInDegree 18162 661
countInDegree 15714 590
countInDegree 5274 612
countInDegree 22095 597
countInDegree 24144 593
countInDegree 7665 615
countInDegree 7605 633
countInDegree 2823 686
countInDegree 18306 722
countInDegree 22305 599
countInDegree 15675 701
countInDegree 26340 605
countInDegree 4908 586
countInDegree 20304 593
countInDegree 13704 680
countInDegree 19632 597
countInDegree 14733 729
countInDegree 24177 638
countInDegree 14223 675
countInDegree 6189 691
