
countInDegree Node Time
countInDegree 0 16
countInDegree 9 15
countInDegree 27 15
countInDegree 18 18
countInDegree 21 29
countInDegree 15 20
countInDegree 18 14
countInDegree 3 15
countInDegree 0 14
countInDegree 12 12
countInDegree 3 12
countInDegree 21 8
countInDegree 21 8
countInDegree 18 8
countInDegree 15 8
countInDegree 21 8
countInDegree 15 15
countInDegree 24 14
countInDegree 0 15
countInDegree 15 28
countInDegree 15 22
countInDegree 12 26
countInDegree 0 21
countInDegree 6 14
countInDegree 12 11
countInDegree 3 22
countInDegree 0 23
countInDegree 9 16
countInDegree 3 15
countInDegree 27 15
countInDegree 12 13
countInDegree 27 15
countInDegree 27 13
countInDegree 21 8
countInDegree 9 8
countInDegree 9 8
countInDegree 27 8
countInDegree 21 9
countInDegree 18 9
countInDegree 6 8
countInDegree 15 8
countInDegree 9 10
countInDegree 27 8
countInDegree 15 12
countInDegree 15 12
countInDegree 3 19
countInDegree 0 16
countInDegree 18 11
countInDegree 15 12
countInDegree 24 8
countInDegree 27 15
countInDegree 15 18
countInDegree 21 18
countInDegree 12 15
countInDegree 21 18
countInDegree 15 24
countInDegree 3 17
countInDegree 6 14
countInDegree 12 11
countInDegree 3 12
countInDegree 27 18
countInDegree 15 16
countInDegree 3 16
countInDegree 6 10
countInDegree 15 16
countInDegree 6 14
countInDegree 15 15
countInDegree 24 17
countInDegree 3 18
countInDegree 27 15
countInDegree 12 16
countInDegree 24 11
countInDegree 15 11
countInDegree 21 20
countInDegree 6 16
countInDegree 21 17
countInDegree 18 19
countInDegree 12 17
countInDegree 18 16
countInDegree 6 15
countInDegree 0 15
countInDegree 3 15
countInDegree 24 16
countInDegree 6 15
countInDegree 0 17
countInDegree 3 17
countInDegree 27 12
countInDegree 15 10

countOutDegree Node Time
countOutDegree 0 39
countOutDegree 24 22
countOutDegree 6 22
countOutDegree 24 25
countOutDegree 27 20
countOutDegree 3 25
countOutDegree 21 17
countOutDegree 27 17
countOutDegree 18 16
countOutDegree 15 18
countOutDegree 27 23
countOutDegree 0 26
countOutDegree 0 19
countOutDegree 18 46
countOutDegree 12 17
countOutDegree 9 21
countOutDegree 0 17
countOutDegree 27 17
countOutDegree 27 16
countOutDegree 12 18
countOutDegree 27 19
countOutDegree 18 16
countOutDegree 15 22
countOutDegree 9 17
countOutDegree 6 18
countOutDegree 21 16
countOutDegree 6 17
countOutDegree 6 23
countOutDegree 24 20
countOutDegree 12 15
countOutDegree 15 14
countOutDegree 24 16
countOutDegree 27 13
countOutDegree 6 14
countOutDegree 3 14
countOutDegree 0 12
countOutDegree 18 14
countOutDegree 15 11
countOutDegree 12 14
countOutDegree 24 13
countOutDegree 12 14
countOutDegree 6 17
countOutDegree 15 20
countOutDegree 27 12
countOutDegree 12 13
countOutDegree 24 12
countOutDegree 6 13
countOutDegree 18 12
countOutDegree 15 12
countOutDegree 21 15
countOutDegree 9 15
countOutDegree 3 12
countOutDegree 24 11
countOutDegree 21 10
countOutDegree 18 15
countOutDegree 6 13
countOutDegree 6 13
countOutDegree 15 12
countOutDegree 3 11
countOutDegree 3 11
countOutDegree 15 15
countOutDegree 18 15
countOutDegree 27 21
countOutDegree 18 13
countOutDegree 18 16
countOutDegree 21 11
countOutDegree 18 11
countOutDegree 6 16
countOutDegree 21 12
countOutDegree 3 11
countOutDegree 18 12
countOutDegree 27 9
countOutDegree 9 7
countOutDegree 0 10
countOutDegree 15 10
countOutDegree 3 10
countOutDegree 18 9
countOutDegree 18 10
countOutDegree 27 8
countOutDegree 12 8
countOutDegree 27 9
countOutDegree 18 9
countOutDegree 18 6
countOutDegree 18 6
countOutDegree 21 11
countOutDegree 21 12
countOutDegree 3 11
countOutDegree 27 13
countOutDegree 27 10
countOutDegree 27 12
countOutDegree 12 12
countOutDegree 18 10
countOutDegree 21 10
countOutDegree 18 10
countOutDegree 24 10
countOutDegree 27 8
countOutDegree 18 20
countOutDegree 18 8
countOutDegree 0 9
countOutDegree 9 11
countOutDegree 24 9
countOutDegree 15 10
countOutDegree 21 10
countOutDegree 18 8
