countInDegree Node Time 
countInDegree 25305 0
countInDegree 14919 1
countInDegree 2244 1
countInDegree 24687 1
countInDegree 4365 0
countInDegree 11091 1
countInDegree 525 1
countInDegree 11994 0
countInDegree 1887 1
countInDegree 22815 0
countInDegree 10902 0
countInDegree 11733 1
countInDegree 1182 1
countInDegree 1995 0
countInDegree 5121 0
countInDegree 3111 1
countInDegree 27333 0
countInDegree 4401 0
countInDegree 24753 1
countInDegree 372 0
countInDegree 8628 0
countInDegree 13551 45
countInDegree 20448 3
countInDegree 15294 1
countInDegree 24972 1
countInDegree 23424 1
countInDegree 1644 8
countInDegree 8448 1
countInDegree 29244 0
countInDegree 1356 0
countInDegree 25830 1
countInDegree 26946 1
countInDegree 9546 1
countInDegree 1239 0
countInDegree 6216 1
countInDegree 14910 1
countInDegree 25254 0
countInDegree 17889 1
countInDegree 3912 1
countInDegree 24423 1
countInDegree 11529 0
countInDegree 21522 1
countInDegree 19707 1
countInDegree 17598 1
countInDegree 24021 1
countInDegree 5364 0
countInDegree 11649 0
countInDegree 27900 1
countInDegree 28299 1
countInDegree 20043 1
countInDegree 9864 1
countInDegree 19854 0
countInDegree 10107 2
countInDegree 3990 0
countInDegree 12831 0
countInDegree 17598 1
countInDegree 10614 1
countInDegree 13002 0
countInDegree 20136 0
countInDegree 7440 1
countInDegree 28980 0
countInDegree 3027 0
countInDegree 29385 1
countInDegree 24936 0
countInDegree 9624 0
countInDegree 930 1
countInDegree 3066 0
countInDegree 4680 0
countInDegree 12891 1
countInDegree 24792 0
countInDegree 25353 1
countInDegree 17673 1
countInDegree 20838 0
countInDegree 2679 0
countInDegree 10857 1
countInDegree 26433 1
countInDegree 4830 0
countInDegree 3120 0
countInDegree 20514 1
countInDegree 16626 0
countInDegree 11412 0
countInDegree 14571 1
countInDegree 11904 0
countInDegree 7284 1
countInDegree 1713 0
countInDegree 5793 0
countInDegree 21018 0
countInDegree 25614 0
countInDegree 26457 0
countInDegree 1326 0
countInDegree 29184 0
countInDegree 5970 0
countInDegree 28881 0
countInDegree 19221 0
countInDegree 18195 1
countInDegree 3648 0
countInDegree 19506 0
countInDegree 22830 1
countInDegree 1587 0
countInDegree 21987 0
countInDegree 16680 0
countInDegree 3201 0
countInDegree 15564 1
countInDegree 26889 0
countInDegree 16242 0
countInDegree 24663 0
countInDegree 2361 0
countInDegree 10311 0
countInDegree 13746 1
countInDegree 13413 0
countInDegree 29184 0
countInDegree 11835 0
countInDegree 29346 0
countInDegree 7053 1
countInDegree 18594 0
countInDegree 14745 1
countInDegree 13368 0
countInDegree 16479 0
countInDegree 17565 0
countInDegree 27552 0
countInDegree 21777 0
countInDegree 9966 0
countInDegree 5520 0
countInDegree 9483 0
countInDegree 16815 0
countInDegree 20196 0
countInDegree 8301 7
countInDegree 25881 0
countInDegree 8100 0
countInDegree 7053 1
countInDegree 15 0
countInDegree 18084 1
countInDegree 7884 0
countInDegree 28395 1
countInDegree 26247 0
countInDegree 12249 18
countInDegree 13110 0
countInDegree 7803 0
countInDegree 28356 0
countInDegree 636 1
countInDegree 14733 0
countInDegree 16911 1
countInDegree 28641 0
countInDegree 12480 0
countInDegree 13611 0
countInDegree 15888 0
countInDegree 11952 0
countInDegree 18351 0
countInDegree 26409 1
countInDegree 22812 0
countInDegree 1089 0
countInDegree 29229 0
countInDegree 26343 0
countInDegree 339 1
countInDegree 17796 0
countInDegree 11502 1
countInDegree 3738 0
countInDegree 18582 1
countInDegree 21366 0
countInDegree 14553 1
countInDegree 8487 0
countInDegree 17208 0
countInDegree 6519 0
countInDegree 14958 0
countInDegree 23232 1
countInDegree 28431 0
countInDegree 29343 0
countInDegree 24738 0
countInDegree 28017 0
countInDegree 22197 1
countInDegree 11580 0
countInDegree 28383 1
countInDegree 6510 0
countInDegree 20400 1
countInDegree 20730 0
countInDegree 25674 0
countInDegree 7950 0
countInDegree 15594 0
countInDegree 22419 1
countInDegree 15471 0
countInDegree 9747 1
countInDegree 12705 0
countInDegree 22341 1
countInDegree 27006 0
countInDegree 20010 1
countInDegree 20313 0
countInDegree 22296 0
countInDegree 4845 1
countInDegree 4113 0
countInDegree 15495 1
countInDegree 10311 0
countInDegree 27516 0
countInDegree 9933 0
countInDegree 24555 0
countInDegree 12045 1
countInDegree 18915 0
countInDegree 23184 1
countInDegree 12396 0
countInDegree 426 0
countInDegree 16173 1
countInDegree 687 0
countInDegree 753 1
countInDegree 19239 1
