delete Node Time 
delete 24639 202
delete 9882 141
delete 26298 221
delete 21537 209
delete 8448 126
delete 11523 196
delete 13113 436
delete 2721 184
delete 15375 235
delete 12684 121
delete 16155 130
delete 23049 136
delete 21735 262
delete 17259 137
delete 3264 367
delete 28194 182
delete 6750 127
delete 29910 117
delete 4164 103
delete 1851 117
delete 10671 114
delete 28488 129
delete 28590 155
delete 24873 115
delete 2955 107
delete 2148 115
delete 10611 117
delete 17232 115
delete 22722 117
delete 26793 125
delete 3477 176
delete 27516 117
delete 14595 125
delete 1914 128
delete 19890 336
delete 20211 217
delete 12756 166
delete 18828 126
delete 23073 116
delete 12168 127
delete 4422 117
delete 15642 115
delete 28275 117
delete 16728 115
delete 13128 177
delete 28365 117
delete 19896 116
delete 7527 134
delete 1998 247
delete 20967 117
delete 19281 117
delete 21756 115
delete 24933 165
delete 8856 118
delete 18291 115
delete 12813 117
delete 810 159
delete 7446 139
delete 23490 116
delete 2376 117
delete 21540 155
delete 9042 115
delete 13620 117
delete 21552 125
delete 2181 117
delete 11670 115
delete 26127 117
delete 22719 150
delete 20655 209
delete 26001 154
delete 25740 117
delete 2661 115
delete 27675 117
delete 23373 115
delete 29058 116
delete 19374 115
delete 498 194
delete 23454 139
delete 19518 179
delete 1836 129
delete 6678 118
delete 23877 127
delete 8259 115
delete 14430 116
delete 4587 154
delete 16836 226
delete 28935 117
delete 3528 138
delete 25392 238
delete 4530 137
delete 28320 155
delete 26919 128
delete 14520 249
delete 3546 117
delete 3282 114
delete 3963 119
delete 16326 148
delete 2592 188
delete 22044 118
delete 7089 125
delete 14394 130
delete 2136 114
delete 20118 118
delete 19221 114
delete 24654 119
delete 1674 265
delete 17445 125
delete 18156 118
delete 8403 77
delete 6300 137
delete 9312 121
delete 8295 129
delete 27807 113
delete 17814 311
delete 4371 185
delete 15090 114
delete 13191 129
delete 11157 114
delete 22818 141
delete 8289 124
delete 4722 211
delete 2883 135
delete 10215 171
delete 16437 147
delete 26934 153
delete 25326 140
delete 8991 179
delete 8253 221
delete 15111 156
delete 4209 164
delete 16656 176
delete 7758 310
delete 12369 135
delete 11679 143
delete 5898 164
delete 4824 168
delete 9522 175
delete 15255 166
delete 8241 148
delete 14337 116
delete 3138 294
delete 26748 206
delete 19158 210
delete 25185 176
delete 15888 125
delete 5049 166
delete 26157 119
delete 5568 158
delete 7503 152
delete 26538 113
delete 13245 120
delete 17070 112
delete 14364 119
delete 9195 166
delete 24846 100
delete 25023 98
delete 28695 101
delete 13578 110
delete 17385 157
delete 29643 208
delete 6690 122
delete 23796 132
delete 22107 110
delete 23610 100
delete 5610 120
delete 17778 134
delete 12807 99
delete 22314 100
delete 7440 109
delete 22905 145
delete 27705 141
delete 15699 99
delete 10737 100
delete 17919 99
delete 7155 100
delete 1119 100
delete 6759 200
delete 5289 99
delete 19509 111
delete 5265 155
delete 1830 176
delete 21180 143
delete 5307 122
delete 13485 111
delete 24459 215
delete 693 117
delete 2670 121
delete 10383 144
delete 15984 89
delete 27621 111
delete 26160 154
delete 15591 156
delete 3255 122
delete 2295 99
delete 3024 110
delete 17202 143
delete 13029 88
delete 8283 133
delete 6105 112
delete 1515 98
delete 1236 111
delete 23742 109
delete 2949 112
delete 6549 121
delete 26040 88
delete 6030 154
delete 25635 110
delete 12207 111
delete 23961 98
delete 20223 132
delete 14628 122
delete 6834 111
delete 2415 121
delete 17439 112
delete 20028 178
delete 26982 242
delete 24258 112
delete 29796 220
delete 19713 101
delete 22641 130
delete 19935 188
delete 14907 112
delete 5064 265
delete 27042 144
delete 18435 121
delete 4746 123
delete 22158 120
delete 2526 165
delete 26265 101
delete 24963 119
delete 24294 101
delete 23316 119
delete 19074 123
delete 17340 119
delete 4281 101
delete 9288 119
delete 25782 177
delete 24021 112
