insert Node PortIn PortOut Time
insert 57921 57921_IN 57921_OUT 128
insert 43191 43191_IN 43191_OUT 135
insert 45096 45096_IN 45096_OUT 120
insert 56886 56886_IN 56886_OUT 116
insert 52464 52464_IN 52464_OUT 116
insert 52572 52572_IN 52572_OUT 177
insert 50967 50967_IN 50967_OUT 116
insert 30531 30531_IN 30531_OUT 116
insert 43485 43485_IN 43485_OUT 116
insert 54345 54345_IN 54345_OUT 143
insert 40044 40044_IN 40044_OUT 124
insert 32973 32973_IN 32973_OUT 220
insert 53925 53925_IN 53925_OUT 201
insert 58719 58719_IN 58719_OUT 152
insert 40056 40056_IN 40056_OUT 168
insert 50793 50793_IN 50793_OUT 164
insert 33540 33540_IN 33540_OUT 124
insert 37653 37653_IN 37653_OUT 116
insert 53361 53361_IN 53361_OUT 115
insert 51810 51810_IN 51810_OUT 169
insert 50214 50214_IN 50214_OUT 148
insert 41745 41745_IN 41745_OUT 168
insert 53808 53808_IN 53808_OUT 116
insert 57864 57864_IN 57864_OUT 148
insert 53532 53532_IN 53532_OUT 116
insert 39024 39024_IN 39024_OUT 120
insert 52698 52698_IN 52698_OUT 200
insert 58029 58029_IN 58029_OUT 144
insert 41949 41949_IN 41949_OUT 116
insert 50328 50328_IN 50328_OUT 140
insert 37272 37272_IN 37272_OUT 260
insert 33588 33588_IN 33588_OUT 164
insert 41547 41547_IN 41547_OUT 168
insert 48735 48735_IN 48735_OUT 116
insert 34869 34869_IN 34869_OUT 116
insert 51252 51252_IN 51252_OUT 128
insert 43806 43806_IN 43806_OUT 116
insert 43245 43245_IN 43245_OUT 116
insert 50172 50172_IN 50172_OUT 116
insert 51477 51477_IN 51477_OUT 128
insert 57720 57720_IN 57720_OUT 204
insert 59580 59580_IN 59580_OUT 116
insert 42294 42294_IN 42294_OUT 116
insert 34536 34536_IN 34536_OUT 118
insert 31926 31926_IN 31926_OUT 162
insert 37524 37524_IN 37524_OUT 124
insert 58869 58869_IN 58869_OUT 116
insert 36318 36318_IN 36318_OUT 208
insert 59016 59016_IN 59016_OUT 124
insert 59364 59364_IN 59364_OUT 172
insert 34065 34065_IN 34065_OUT 132
insert 47391 47391_IN 47391_OUT 116
insert 36078 36078_IN 36078_OUT 116
insert 43533 43533_IN 43533_OUT 116
insert 42885 42885_IN 42885_OUT 159
insert 58812 58812_IN 58812_OUT 117
insert 48588 48588_IN 48588_OUT 116
insert 44892 44892_IN 44892_OUT 116
insert 55605 55605_IN 55605_OUT 380
insert 55824 55824_IN 55824_OUT 104
insert 38631 38631_IN 38631_OUT 216
insert 56430 56430_IN 56430_OUT 204
insert 51237 51237_IN 51237_OUT 116
insert 32052 32052_IN 32052_OUT 119
insert 38778 38778_IN 38778_OUT 116
insert 36273 36273_IN 36273_OUT 116
insert 32406 32406_IN 32406_OUT 116
insert 39210 39210_IN 39210_OUT 176
insert 44793 44793_IN 44793_OUT 116
insert 41376 41376_IN 41376_OUT 228
insert 52776 52776_IN 52776_OUT 145
insert 40344 40344_IN 40344_OUT 188
insert 49959 49959_IN 49959_OUT 136
insert 33144 33144_IN 33144_OUT 168
insert 48531 48531_IN 48531_OUT 160
insert 36645 36645_IN 36645_OUT 120
insert 55518 55518_IN 55518_OUT 116
insert 40059 40059_IN 40059_OUT 116
insert 39159 39159_IN 39159_OUT 176
insert 44784 44784_IN 44784_OUT 140
insert 52524 52524_IN 52524_OUT 184
insert 59610 59610_IN 59610_OUT 116
insert 37143 37143_IN 37143_OUT 116
insert 53538 53538_IN 53538_OUT 116
insert 51657 51657_IN 51657_OUT 115
insert 57954 57954_IN 57954_OUT 116
insert 59817 59817_IN 59817_OUT 116
insert 39162 39162_IN 39162_OUT 120
insert 34932 34932_IN 34932_OUT 181
insert 52317 52317_IN 52317_OUT 264
insert 46227 46227_IN 46227_OUT 182
insert 35337 35337_IN 35337_OUT 194
insert 57999 57999_IN 57999_OUT 116
insert 46524 46524_IN 46524_OUT 116
insert 59049 59049_IN 59049_OUT 208
insert 31137 31137_IN 31137_OUT 224
insert 37278 37278_IN 37278_OUT 116
insert 46683 46683_IN 46683_OUT 224
insert 43755 43755_IN 43755_OUT 196
insert 35142 35142_IN 35142_OUT 225
insert 38748 38748_IN 38748_OUT 116
insert 57774 57774_IN 57774_OUT 144
insert 39111 39111_IN 39111_OUT 116
insert 36024 36024_IN 36024_OUT 152
insert 44244 44244_IN 44244_OUT 216
insert 35115 35115_IN 35115_OUT 191
insert 41787 41787_IN 41787_OUT 116
insert 44829 44829_IN 44829_OUT 120
insert 49692 49692_IN 49692_OUT 148
insert 55644 55644_IN 55644_OUT 116
insert 36825 36825_IN 36825_OUT 116
insert 56973 56973_IN 56973_OUT 116
insert 33405 33405_IN 33405_OUT 116
insert 47220 47220_IN 47220_OUT 204
insert 39531 39531_IN 39531_OUT 136
insert 58512 58512_IN 58512_OUT 117
insert 53238 53238_IN 53238_OUT 120
insert 55062 55062_IN 55062_OUT 116
insert 52158 52158_IN 52158_OUT 116
insert 34911 34911_IN 34911_OUT 172
insert 32400 32400_IN 32400_OUT 228
insert 57591 57591_IN 57591_OUT 128
insert 58608 58608_IN 58608_OUT 116
insert 39366 39366_IN 39366_OUT 244
insert 32850 32850_IN 32850_OUT 108
insert 38337 38337_IN 38337_OUT 132
insert 31467 31467_IN 31467_OUT 144
insert 56811 56811_IN 56811_OUT 160
insert 57297 57297_IN 57297_OUT 116
insert 50310 50310_IN 50310_OUT 116
insert 45585 45585_IN 45585_OUT 139
insert 48948 48948_IN 48948_OUT 260
insert 53166 53166_IN 53166_OUT 116
insert 42399 42399_IN 42399_OUT 160
insert 42060 42060_IN 42060_OUT 124
insert 56427 56427_IN 56427_OUT 116
insert 46638 46638_IN 46638_OUT 160
insert 43686 43686_IN 43686_OUT 165
insert 38967 38967_IN 38967_OUT 116
insert 49785 49785_IN 49785_OUT 120
insert 58545 58545_IN 58545_OUT 116
insert 32808 32808_IN 32808_OUT 176
insert 56433 56433_IN 56433_OUT 144
insert 35187 35187_IN 35187_OUT 239
insert 41853 41853_IN 41853_OUT 128
insert 43410 43410_IN 43410_OUT 140
insert 34563 34563_IN 34563_OUT 112
insert 30240 30240_IN 30240_OUT 165
insert 52569 52569_IN 52569_OUT 116
insert 53658 53658_IN 53658_OUT 152
insert 49647 49647_IN 49647_OUT 208
insert 33276 33276_IN 33276_OUT 124
insert 59787 59787_IN 59787_OUT 112
insert 38136 38136_IN 38136_OUT 116
insert 40167 40167_IN 40167_OUT 176
insert 53220 53220_IN 53220_OUT 184
insert 39372 39372_IN 39372_OUT 177
insert 55689 55689_IN 55689_OUT 215
insert 30594 30594_IN 30594_OUT 112
insert 47670 47670_IN 47670_OUT 120
insert 58026 58026_IN 58026_OUT 135
insert 56514 56514_IN 56514_OUT 140
insert 46371 46371_IN 46371_OUT 172
insert 34566 34566_IN 34566_OUT 184
insert 43803 43803_IN 43803_OUT 180
insert 58335 58335_IN 58335_OUT 104
insert 51537 51537_IN 51537_OUT 152
insert 30726 30726_IN 30726_OUT 157
insert 51792 51792_IN 51792_OUT 116
insert 48237 48237_IN 48237_OUT 216
insert 32709 32709_IN 32709_OUT 116
insert 52416 52416_IN 52416_OUT 116
insert 44763 44763_IN 44763_OUT 116
insert 56364 56364_IN 56364_OUT 128
